acc,uacc,time
0.7857142857142856,0.14419450504439218,3.839906
0.8333333333333333,,2.524944
0.7142857142857143,,1.818438
0.9047619047619047,,5.227337
0.8571428571428572,,2.957302
0.8809523809523809,,3.475372
0.9285714285714286,,6.720962
0.9047619047619047,,4.899462
0.8809523809523809,,4.502303
0.8333333333333333,0.08008025781739325,3.289247
0.8571428571428571,,3.503249
0.8333333333333333,,8.226711
0.7619047619047619,,2.865133
0.8095238095238095,,3.48721
0.8571428571428572,,2.106844
0.7380952380952381,,2.199039
0.8571428571428572,,3.115134
0.8095238095238095,0.08414724788495473,3.295312
0.9047619047619048,,3.075531
0.8095238095238095,0.08684321209078744,2.422804
0.7380952380952381,,2.119898
0.8333333333333333,,3.694263
0.8333333333333333,,2.653309
0.8571428571428571,,2.913638
0.8095238095238095,,2.912439
0.7857142857142857,0.06406920988644872,2.780696
0.8571428571428571,,3.526873
0.7857142857142857,,3.459065
0.7857142857142856,,2.595624
0.7857142857142857,,3.596316
