acc,uacc,time
0.9435396308360477,0.04579299154421406,27.969358
0.9446254071661238,0.16465359867978174,16.625478
0.9467969598262758,0.19763887986686407,15.732263
0.9381107491856677,,18.205922
0.9413680781758957,,21.321902
0.9435396308360477,0.1703815488842489,19.940605
0.9533116178067318,,23.915255
0.9391965255157437,,21.440368
0.9500542888165038,0.1372383379586745,18.069559
0.9467969598262758,0.09580023591603828,21.512931
0.9305103148751357,,16.674473
0.9391965255157437,0.08219157341345901,18.691836
0.9337676438653637,0.1414113238405327,17.501017
0.9402823018458197,,20.783078
0.9294245385450597,,22.505932
0.9348534201954397,,20.875513
0.9576547231270358,,18.775648
0.9489685124864278,0.06696843637414397,18.189395
0.9446254071661238,0.1484945684865554,17.715395
0.9511400651465798,0.069126261295053,19.833195
