acc,uacc,time
0.8873239436619719,,6.146765
0.9295774647887325,0.07673745287556044,5.188225
0.9295774647887325,,5.022682
0.8591549295774648,,4.448192
0.9295774647887325,,5.70066
0.8169014084507042,0.1659867182164125,3.399199
0.8309859154929577,,4.044913
0.9154929577464789,,3.673358
0.887323943661972,,5.734639
0.9295774647887325,,9.193297
0.9014084507042255,,4.966075
0.8591549295774649,0.15152304525106725,3.703511
0.8591549295774648,0.11266083480186866,3.32705
0.8732394366197183,,3.42648
0.8450704225352113,,3.940753
0.9295774647887325,,7.313483
0.8732394366197184,0.0713742466669687,4.948606
0.9014084507042255,0.05731218602036087,4.949288
0.8873239436619719,,3.426123
0.9014084507042254,,3.235602
0.8591549295774648,,4.020651
0.8732394366197183,,4.193386
0.8450704225352113,0.1595883782900555,2.929955
0.8873239436619719,0.11211207530028383,4.140733
0.887323943661972,,6.864482
0.9014084507042254,,3.432584
0.8732394366197185,,3.309213
0.8309859154929577,,3.055987
0.915492957746479,0.08439942186986896,5.254511
0.8732394366197184,,5.872502
