acc,uacc,time
0.8688524590163935,,4.832985
0.8032786885245902,0.08177519858372016,3.946319
0.9344262295081966,0.16167793728289057,3.890067
0.8360655737704918,0.11395002877125976,4.403337
0.8360655737704918,,3.995963
0.8524590163934427,0.14843509553885853,3.530222
0.9016393442622952,,4.310767
0.8032786885245902,0.15916352975563924,3.071362
0.7377049180327868,,3.344306
0.8032786885245902,0.09737134395075626,8.346084
0.8852459016393444,,11.882423
0.7868852459016393,0.16236430772992433,4.264291
0.8688524590163935,0.11990785012479688,5.740704
0.918032786885246,,4.572954
0.8688524590163935,,7.940536
0.8524590163934427,0.0968358223555518,4.91711
0.918032786885246,,4.849703
0.8360655737704918,0.10223741389688898,3.807734
0.8852459016393444,,4.269667
0.8688524590163935,0.0650894146595822,8.401795
0.9016393442622951,,3.560194
0.8524590163934427,,10.856353
0.9016393442622951,0.17843669139948048,5.224501
0.8688524590163935,0.13774419588143708,6.297984
0.918032786885246,0.147945908127261,10.505125
0.8524590163934427,0.12230736798927433,4.318385
0.8524590163934427,0.18410741281313975,2.980578
0.8688524590163935,,4.917801
0.8852459016393444,0.09096254164078196,9.052236
0.8032786885245902,0.13136749848967694,3.429659
