acc,uacc,time
0.7857142857142856,,3.8399059999999996
0.8333333333333333,,2.524944
0.7142857142857143,0.1565728953906468,1.818438
0.9047619047619048,,5.227337
0.8571428571428572,0.09578901387396313,2.957302
0.8809523809523809,,3.475372
0.9523809523809523,,6.720961999999999
0.9047619047619047,0.16104691865898313,4.899462000000001
0.9047619047619048,,4.5023029999999995
0.8333333333333333,0.07761730475439912,3.289247
0.8571428571428571,0.059950271798741246,3.503249
0.8809523809523809,,8.226711
0.7619047619047619,,2.865133
0.8095238095238095,,3.4872099999999997
0.8809523809523809,0.14646373192469278,2.1068439999999997
0.7380952380952381,0.07107838385161899,2.199039
0.8571428571428572,,3.115134
0.8095238095238095,,3.2953120000000005
0.8809523809523809,0.06289544524181456,3.0755310000000002
0.8095238095238095,0.12346939671607243,2.422804
0.7857142857142856,,2.119898
0.8333333333333333,,3.694263
0.8333333333333333,0.12390385142394475,2.653309
0.8571428571428571,0.09912353541169848,2.913638
0.7857142857142857,0.07222825004940941,2.912439
0.7380952380952381,0.12578652728171574,2.780696
0.8809523809523809,,3.526873
0.7857142857142857,0.13154563094888413,3.4590650000000003
0.7857142857142857,,2.5956240000000004
0.7619047619047619,0.16195667144798098,3.5963160000000003
