acc,uacc,time
0.9357142857142857,,7.593982
0.9357142857142857,,7.525873
0.9714285714285715,,10.361299
0.9714285714285713,,20.045957
0.9428571428571428,,14.196228
0.9785714285714286,,35.181179
0.9428571428571428,,13.249789
0.9785714285714285,,29.567917
0.9857142857142858,0.0481643489428929,13.404493
0.9857142857142855,0.020112382567354613,67.577326
0.9571428571428571,,11.385379
0.9571428571428571,,12.071417
0.9428571428571428,,10.397196
0.9714285714285715,,6.715229
0.9714285714285715,,21.662751
0.9714285714285715,,8.296898
0.9714285714285714,,7.525806
0.9857142857142855,,14.766703
0.9500000000000001,,15.413918
0.9642857142857143,,17.096248
