acc,uacc,time
0.96875,,12.030094
0.84375,,3.173477
0.9479166666666667,0.04786855448037386,3.816852
0.9166666666666667,,4.239221
0.9270833333333334,,4.678783
0.9583333333333334,,6.854364
0.9375,,5.660397
0.9479166666666667,0.09280862531159073,5.135795
0.9375,,4.515098
0.9583333333333334,,8.816134
0.96875,0.09784372680587694,6.452487
0.9479166666666667,,5.694614
0.9479166666666667,,4.330413
0.9166666666666667,,5.43974
0.9479166666666667,,4.458459
0.9895833333333334,,19.387149
0.9166666666666667,,4.363753
0.96875,,4.312251
0.9375,,5.803393
0.9583333333333334,,4.460202
