acc,uacc,time
0.8524590163934427,,6.861575
0.7540983606557377,0.05354021336944377,3.326831
0.7704918032786885,,4.0270220000000005
0.8524590163934427,,5.188469
0.7540983606557377,0.1896919158638501,3.424169
0.8524590163934427,0.14236587114998553,5.426371
0.8852459016393442,,5.920484
0.8360655737704918,,4.949758
0.8360655737704918,0.17973955903874067,3.6614730000000004
0.8360655737704918,,3.7658139999999998
0.819672131147541,0.12396182706121539,5.592179
0.819672131147541,0.18624762922036842,4.087894
0.8360655737704918,0.09722356461599224,9.190861
0.8524590163934427,0.2089164958136981,4.070405
0.819672131147541,,4.750392
0.8524590163934427,0.1257895512170479,4.982176
0.8524590163934427,,5.5859760000000005
0.7868852459016393,0.21901786596071524,5.626093
0.7704918032786885,0.12687736945074113,4.115947
0.8524590163934427,,6.895528
