acc,uacc,time
0.8333333333333333,0.08307365824778876,5.201978
0.8095238095238095,,3.563604
0.8809523809523809,,3.577279
0.9285714285714286,,3.612462
0.8809523809523809,,5.551635
0.8809523809523809,,5.588088
0.8333333333333333,,3.825108
0.9523809523809523,,6.652967
0.8095238095238095,,3.337809
0.8333333333333333,,3.371977
0.9285714285714286,,6.697196
0.8333333333333333,,3.265225
0.8809523809523809,,4.661669
0.8809523809523809,,4.472437
0.8809523809523809,,3.964161
0.8333333333333333,0.06794061547233946,2.656228
0.8571428571428572,,3.502594
0.8333333333333333,,3.179536
0.8809523809523809,,3.642917
0.9047619047619047,,4.720065
