acc,uacc,time
0.9295774647887325,0.03399004273011651,8.438996
0.887323943661972,,5.90763
0.9295774647887325,0.12792176921182954,5.987759
0.8591549295774649,0.05587611399905782,4.921857
0.915492957746479,0.09514338906172295,6.318834
0.9014084507042255,,4.659385
0.9577464788732395,,6.294473
0.9577464788732395,,8.070817
0.8732394366197183,,5.054345
0.9154929577464789,,4.731149
0.915492957746479,,6.349283
0.9577464788732395,,12.825324
0.9154929577464789,,9.080405
0.9295774647887325,,6.110198
0.8591549295774648,,4.442686
0.9014084507042255,,3.972884
0.8591549295774649,0.1786514917309855,5.04645
0.8873239436619718,0.09461401408197176,4.387701
0.8873239436619719,,6.299905
0.9859154929577465,,12.301609
