acc,uacc,time
0.7597402597402598,,9.236593
0.7272727272727273,0.17241452827856138,12.568268
0.6948051948051948,0.1637253598733382,7.490386
0.7337662337662338,0.13458626069031754,10.948065
0.7922077922077922,0.22264015732647535,8.11391
0.7597402597402598,,12.788334
0.7727272727272727,0.21957634892556574,37.489419
0.7792207792207793,0.21648613915040898,11.180888
0.7402597402597403,0.18593732683689562,6.523027
0.7597402597402598,0.16636261402012467,12.939223
0.7402597402597403,0.11125138827732631,6.20882
0.7272727272727273,0.1867487823421305,8.773757
0.7467532467532467,0.16383519826771376,9.042996
0.7792207792207793,,10.534241
0.7597402597402597,0.13884750724612893,19.414853
0.7402597402597403,0.14441653950647876,7.20233
0.7727272727272727,0.19557836825971478,7.416752
0.7402597402597403,0.2150730241041679,9.841008
0.7922077922077922,0.1869749757763627,11.035898
0.7272727272727273,0.14806046927130068,8.798239
