acc,uacc,time
1.0,,105.911129
0.9963636363636363,,108.333034
0.9745454545454546,,51.567923
0.9927272727272727,,108.640071
0.5563636363636364,,14.747808
0.9927272727272728,,76.852483
0.9963636363636363,,109.842783
0.989090909090909,,61.075513
0.989090909090909,,61.337455
0.9927272727272727,,110.514269
0.9963636363636363,,104.864947
0.9890909090909091,,110.517647
0.9854545454545456,0.08919056404720653,69.664918
0.9927272727272727,,91.605354
0.9963636363636363,,74.395057
0.9854545454545454,,44.36496
0.978181818181818,,51.968862
0.9854545454545454,,42.203809
1.0,,105.413492
0.9927272727272728,,76.831338
