acc,uacc,time
0.7521291851997376,0.013936944305896759,3895.035903
0.7493448704481125,0.013496772944927127,3796.071887
0.7520114660263062,0.00883919596672067,3922.373478
0.7507011979818344,0.017478767037391707,3786.919703
0.7493243962526321,0.01682618260383606,4340.694517
0.7502149671316147,0.011536487936973705,3642.024867
0.7495700627565384,0.017609246075153462,3828.262147
0.7496314823627472,0.012107162177562691,3668.817023
0.7513819217681885,0.013719442486763045,3686.84444
0.7503531545400619,0.015546607971191562,3662.682902
0.7509980589151383,0.006878882646560669,4026.481126
0.7506551325321198,0.010520504415035381,3781.829781
0.7493243932723999,0.011183342337608426,4158.386491
0.7505169451236725,0.010630536079406783,3845.104475
0.7505322992801666,0.011544178426265761,3529.761012
0.7477940440177917,0.019075666368007838,4265.682306
0.7514945298433304,0.013289476931095168,3700.464191
0.7513768076896667,0.01457160562276838,3890.021553
0.7495188772678375,0.018072490394115404,4146.84152
0.7519039869308471,0.012542237341404139,3993.603593
