acc,uacc,time
0.8524590163934427,0.09537300369778617,6.861575
0.7540983606557377,,3.326831
0.7704918032786885,0.12531617210536705,4.027022
0.8360655737704918,0.11309617464659644,5.188469
0.721311475409836,,3.424169
0.8524590163934427,0.12513051291958233,5.426371
0.8852459016393442,0.1378344721237167,5.920484
0.819672131147541,,4.949758
0.8360655737704918,0.13999568878627217,3.661473
0.819672131147541,0.1515643508707891,3.765814
0.819672131147541,0.1276008267505247,5.592179
0.819672131147541,,4.087894
0.8360655737704918,,9.190861
0.8524590163934427,,4.070405
0.819672131147541,,4.750392
0.8360655737704918,,4.982176
0.8524590163934427,0.15912379519861253,5.585976
0.7868852459016393,,5.626093
0.7868852459016393,0.08201794460660122,4.115947
0.8688524590163935,,6.895528
